# Generated by workflow/scripts/update_genomes.py from the Ensembl FTP listings.
# Do not edit by hand - rerun the script instead.
# Columns: release,species,common name,genome assembly
release-96,pongo_abelii,sumatran orangutan,PPYG2
release-96,rattus_norvegicus,rat,Rnor_6.0
release-96,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-96,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-96,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-97,canis_familiaris,dog,CanFam3.1
release-97,homo_sapiens,human,GRCh38
release-97,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-97,mus_musculus,mouse,GRCm38
release-97,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-97,ovis_aries,sheep,Oar_v3.1
release-97,pongo_abelii,sumatran orangutan,PPYG2
release-97,rattus_norvegicus,rat,Rnor_6.0
release-97,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-97,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-116,acanthochromis_polyacanthus,spiny chromis,ASM210954v1
release-116,accipiter_nisus,eurasian sparrowhawk,Accipiter_nisus_ver1.0
release-116,ailuropoda_melanoleuca,giant panda,ASM200744v2
release-116,amazona_collaria,yellow-billed parrot,ASM394721v1
release-116,amphilophus_citrinellus,midas cichlid,Midas_v5
release-116,amphiprion_ocellaris,clown anemonefish,ASM2253959v1
release-116,amphiprion_percula,orange clownfish,Nemo_v1
release-116,anabas_testudineus,climbing perch,fAnaTes1.3
release-116,anas_platyrhynchos,mallard,ASM874695v1
release-116,anas_platyrhynchos_platyrhynchos,duck,CAU_duck1.0
release-116,anas_zonorhyncha,eastern spot-billed duck,ASM222487v1
release-116,anolis_carolinensis,green anole,AnoCar2.0v2
release-116,anser_brachyrhynchus,pink-footed goose,ASM259213v1
release-116,anser_cygnoides,swan goose,GooseV1.0
release-116,aotus_nancymaae,ma's night monkey,Anan_2.0
release-116,apteryx_haastii,great spotted kiwi,aptHaa1
release-116,apteryx_owenii,little spotted kiwi,aptOwe1
release-116,apteryx_rowi,okarito brown kiwi,aptRow1
release-116,aquila_chrysaetos_chrysaetos,golden eagle,bAquChr1.2
release-116,astatotilapia_calliptera,eastern happy,fAstCal1.3
release-116,astyanax_mexicanus,mexican tetra,Astyanax_mexicanus-2.0
release-116,astyanax_mexicanus_pachon,pachon cavefish,Astyanax_mexicanus-1.0.2
release-116,athene_cunicularia,burrowing owl,athCun1
release-116,balaenoptera_musculus,blue whale,mBalMus1.v2
release-116,betta_splendens,siamese fighting fish,fBetSpl5.2
release-116,bison_bison_bison,american bison,Bison_UMD1.0
release-116,bos_grunniens,domestic yak,LU_Bosgru_v3.0
release-116,bos_indicus_hybrid,hybrid - bos indicus,UOA_Brahman_1
release-116,bos_mutus,wild yak,BosGru_v2.0
release-116,bos_taurus,cattle,ARS-UCD2.0
release-116,bos_taurus_gca963921495v1,cattle - norwegian red (nrf),NRF
release-116,bos_taurus_hybrid,hybrid - bos taurus,UOA_Angus_1
release-116,bos_taurus_tuli,cattle - tuli,ASM4028542v1
release-116,bos_taurus_wagyu,cattle - wagyu,ASM4028618v1
release-116,bubo_bubo,eurasian eagle-owl,BubBub1.0
release-116,buteo_japonicus,eastern buzzard,ButJap1.0
release-116,cairina_moschata_domestica,muscovy duck (domestic type),CaiMos1.0
release-116,calidris_pugnax,ruff,ASM143184v1
release-116,calidris_pygmaea,spoon-billed sandpiper,ASM369795v1
release-116,callithrix_jacchus,white-tufted-ear marmoset,mCalJac1.pat.X
release-116,callorhinchus_milii,elephant shark,Callorhinchus_milii-6.1.3
release-116,camarhynchus_parvulus,small tree finch,Camarhynchus_parvulus_V1.1
release-116,camelus_dromedarius,arabian camel,CamDro2
release-116,canis_lupus_dingo,dingo,ASM325472v1
release-116,canis_lupus_familiaris,dog,ROS_Cfam_1.0
release-116,canis_lupus_familiarisbasenji,dog - basenji,Basenji_breed-1.1
release-116,canis_lupus_familiarisboxer,dog - boxer,Dog10K_Boxer_Tasha
release-116,canis_lupus_familiarisgreatdane,dog - great dane,UMICH_Zoey_3.1
release-116,canis_lupus_familiarisgsd,dog - german shepherd,UU_Cfam_GSD_1.0
release-116,capra_hircus,goat,ARS1
release-116,capra_hircus_blackbengal,goat (black bengal),CVASU_BBG_1.0
release-116,capra_hircus_gca015443085v1,goat - saanen dairy,Saanen_v1
release-116,capra_hircus_gca026652205v1,goat - xinong saanen dairy,ASM2665220v1
release-116,carassius_auratus,goldfish,ASM336829v1
release-116,carlito_syrichta,tarsier,Tarsius_syrichta-2.0.1
release-116,castor_canadensis,american beaver,C.can_genome_v1.0
release-116,catagonus_wagneri,chacoan peccary,CatWag_v2_BIUU_UCD
release-116,catharus_ustulatus,swainson's thrush,bCatUst1.pri
release-116,cavia_aperea,brazilian guinea pig,CavAp1.0
release-116,cavia_porcellus,guinea pig,Cavpor3.0
release-116,cebus_imitator,panamanian white-faced capuchin,Cebus_imitator-1.0
release-116,cercocebus_atys,sooty mangabey,Caty_1.0
release-116,cervus_hanglu_yarkandensis,yarkand deer,CEY_v1
release-116,chelonoidis_abingdonii,abingdon island giant tortoise,ASM359739v1
release-116,chelydra_serpentina,common snapping turtle,Chelydra_serpentina-1.0
release-116,chinchilla_lanigera,long-tailed chinchilla,ChiLan1.0
release-116,chlorocebus_sabaeus,vervet-agm,ChlSab1.1
release-116,choloepus_hoffmanni,sloth,choHof1
release-116,chrysemys_picta_bellii,painted turtle,Chrysemys_picta_bellii-3.0.3
release-116,chrysolophus_pictus,golden pheasant,Chrysolophus_pictus_GenomeV1.0
release-116,ciona_intestinalis,c.intestinalis,KH
release-116,ciona_savignyi,c.savignyi,CSAV2.0
release-116,clupea_harengus,atlantic herring,Ch_v2.0.2v2
release-116,colobus_angolensis_palliatus,angola colobus,Cang.pa_1.0
release-116,corvus_moneduloides,new caledonian crow,bCorMon1.pri
release-116,cottoperca_gobio,channel bull blenny,fCotGob3.1
release-116,coturnix_japonica,japanese quail,Coturnix_japonica_2.0
release-116,cricetulus_griseus_chok1gshd,chinese hamster chok1gs,CHOK1GS_HDv1
release-116,cricetulus_griseus_crigri,chinese hamster crigri,CriGri_1.0
release-116,cricetulus_griseus_picr,chinese hamster picr,CriGri-PICRH-1.0
release-116,crocodylus_porosus,australian saltwater crocodile,CroPor_comp1
release-116,cyanistes_caeruleus,blue tit,cyaCae2
release-116,cyclopterus_lumpus,lumpfish,fCycLum1.pri
release-116,cynoglossus_semilaevis,tongue sole,Cse_v1.0
release-116,cyprinodon_variegatus,sheepshead minnow,C_variegatus-1.0
release-116,cyprinus_carpio_carpio,common carp,Cypcar_WagV4.0
release-116,cyprinus_carpio_germanmirror,common carp german mirror,German_Mirror_carp_1.0
release-116,cyprinus_carpio_hebaored,common carp hebao red,Hebao_red_carp_1.0
release-116,cyprinus_carpio_huanghe,common carp huanghe,Hunaghe_carp_2.0
release-116,danio_rerio,zebrafish,GRCz11
release-116,dasypus_novemcinctus,armadillo,Dasnov3.0
release-116,delphinapterus_leucas,beluga whale,ASM228892v3
release-116,denticeps_clupeoides,denticle herring,fDenClu1.2
release-116,dicentrarchus_labrax,european seabass,dlabrax2021
